priming,dif,participant,story
no_prime,0.1499999999999999,1,11
no_prime,-0.050000000000000044,2,11
no_prime,0.5,3,11
no_prime,0.875,4,11
no_prime,0.8125,5,11
no_prime,-0.33333333333333326,6,11
no_prime,0.9375,7,11
no_prime,0.0,8,11
no_prime,-0.5625,9,11
no_prime,0.375,10,11
no_prime,0.5625,11,11
no_prime,0.75,12,11
no_prime,0.125,13,11
no_prime,-0.1,14,12
no_prime,0.25,15,12
no_prime,0.375,16,12
no_prime,-0.5625,17,12
no_prime,0.875,18,12
no_prime,-0.375,19,12
no_prime,0.625,20,12
no_prime,-0.0625,21,12
no_prime,0.3125,22,12
no_prime,0.375,23,12
no_prime,1.75,24,12
no_prime,0.6875,25,12
no_prime,0.5625,26,12
no_prime,0.375,27,12
no_prime,-0.30000000000000027,28,13
no_prime,1.1875,29,13
no_prime,-0.25,30,13
no_prime,0.1875,31,13
no_prime,1.1875,32,13
no_prime,0.125,33,13
no_prime,-0.875,34,13
no_prime,-0.625,35,13
no_prime,1.0,36,13
no_prime,-0.4375,37,13
no_prime,-0.5,38,13
no_prime,0.6875,39,13
no_prime,0.7499999999999998,40,14
no_prime,0.20000000000000007,41,14
no_prime,1.0,42,14
no_prime,1.125,43,14
no_prime,0.75,44,14
no_prime,0.375,45,14
no_prime,0.8125,46,14
no_prime,0.75,47,14
no_prime,0.9375,48,21
no_prime,0.125,49,21
no_prime,-0.25,50,21
no_prime,0.4375,51,21
no_prime,1.25,52,21
no_prime,1.125,53,21
no_prime,0.0625,54,21
no_prime,0.4375,55,21
no_prime,0.3999999999999999,56,22
no_prime,0.5,57,22
no_prime,-0.65,58,22
no_prime,0.25,59,22
no_prime,-0.5625,60,22
no_prime,-0.4375,61,22
no_prime,0.75,62,22
no_prime,0.5,63,22
no_prime,-0.25,64,22
no_prime,-0.25,65,22
no_prime,0.25,66,22
no_prime,0.0,67,23
no_prime,0.15000000000000002,68,23
no_prime,0.2999999999999998,69,23
no_prime,0.25,70,23
no_prime,0.5,71,23
no_prime,1.375,72,23
no_prime,-0.5625,73,23
no_prime,0.0625,74,23
no_prime,0.375,75,23
no_prime,0.375,76,23
no_prime,-0.9375,77,24
no_prime,0.375,78,24
no_prime,2.5,79,24
no_prime,0.8125,80,24
no_prime,0.5,81,24
no_prime,0.375,82,24
no_prime,0.4375,83,24
no_prime,1.35,84,31
no_prime,-0.5,85,31
no_prime,-0.375,86,31
no_prime,-0.625,87,31
no_prime,0.625,88,31
no_prime,0.0625,89,31
no_prime,0.5,90,31
no_prime,-0.375,91,31
no_prime,1.05,92,32
no_prime,1.6500000000000001,93,32
no_prime,-1.125,94,32
no_prime,0.3125,95,32
no_prime,0.1875,96,32
no_prime,1.0,97,32
no_prime,0.75,98,32
no_prime,-1.0,99,33
no_prime,-1.0499999999999998,100,33
no_prime,-0.2999999999999998,101,33
no_prime,-0.25,102,33
no_prime,0.125,103,33
no_prime,-1.1875,104,33
no_prime,-0.375,105,33
no_prime,-0.75,106,33
no_prime,0.65,107,34
no_prime,0.3999999999999999,108,34
no_prime,0.8125,109,34
no_prime,0.125,110,34
no_prime,0.875,111,34
no_prime,0.0625,112,34
no_prime,-0.25,113,34
no_prime,1.4375,114,34
no_prime,0.9375,115,41
no_prime,0.1875,116,41
no_prime,-0.1875,117,41
no_prime,0.75,118,41
no_prime,0.3125,119,41
no_prime,-0.8125,120,41
no_prime,-0.4500000000000002,121,42
no_prime,2.0,122,42
no_prime,-0.1875,123,42
no_prime,0.375,124,42
no_prime,0.0625,125,42
no_prime,-0.5,126,42
no_prime,-0.25,127,42
no_prime,0.09999999999999987,128,43
no_prime,-0.4,129,43
no_prime,-0.1875,130,43
no_prime,-0.6875,131,43
no_prime,-0.4375,132,43
no_prime,-0.75,133,43
no_prime,0.875,134,43
no_prime,0.75,135,44
no_prime,2.55,136,44
no_prime,0.125,137,44
no_prime,1.5,138,44
no_prime,0.875,139,44
no_prime,-0.3125,140,44
no_prime,0.0625,141,44
loc,-0.04999999999999982,142,11
loc,1.0625,143,11
loc,0.875,144,11
loc,1.1875,145,11
loc,1.1875,146,11
loc,-0.25,147,11
loc,1.8125,148,11
loc,0.3125,149,11
loc,-0.8,150,12
loc,1.5,151,12
loc,-1.1875,152,12
loc,0.125,153,12
loc,-0.75,154,12
loc,0.6875,155,12
loc,0.4375,156,12
loc,-0.5625,157,13
loc,-0.3125,158,13
loc,-1.0,159,13
loc,0.25,160,13
loc,-0.4375,161,13
loc,-0.625,162,13
loc,-0.0625,163,13
loc,1.3125,164,13
loc,0.375,165,13
loc,1.25,166,14
loc,1.3125,167,14
loc,0.0625,168,14
loc,0.0,169,14
loc,1.0,170,14
loc,0.5000000000000002,171,21
loc,0.4,172,21
loc,1.6875,173,21
loc,0.6875,174,21
loc,1.0625,175,21
loc,-0.0625,176,21
loc,0.25,177,21
loc,-0.4375,178,21
loc,-0.25,179,22
loc,-0.375,180,22
loc,-1.6875,181,22
loc,0.25,182,22
loc,1.3125,183,22
loc,0.375,184,22
loc,1.25,185,23
loc,0.34999999999999987,186,23
loc,1.55,187,23
loc,-0.25,188,23
loc,0.4375,189,23
loc,1.25,190,23
loc,0.9500000000000001,191,24
loc,1.4375,192,24
loc,-0.1875,193,24
loc,-0.125,194,24
loc,-0.125,195,24
loc,0.0,196,31
loc,0.0,197,31
loc,-0.6875,198,31
loc,0.0625,199,31
loc,-1.0,200,31
loc,-0.0625,201,31
loc,-0.3999999999999999,202,32
loc,0.6875,203,32
loc,0.625,204,32
loc,-0.5,205,32
loc,1.0625,206,32
loc,0.3125,207,32
loc,-0.75,208,32
loc,0.25,209,32
loc,0.5,210,32
loc,1.1875,211,32
loc,-0.3999999999999999,212,33
loc,-1.0625,213,33
loc,-0.3125,214,33
loc,0.1875,215,33
loc,0.25,216,33
loc,-0.375,217,33
loc,-1.25,218,33
loc,-0.5,219,33
loc,0.5,220,33
loc,1.25,221,34
loc,0.7,222,34
loc,0.9375,223,34
loc,-0.125,224,34
loc,0.75,225,34
loc,-0.5,226,34
loc,1.1875,227,34
loc,0.75,228,34
loc,0.15000000000000002,229,41
loc,-0.25,230,41
loc,-0.25,231,41
loc,0.6875,232,41
loc,0.75,233,41
loc,0.75,234,41
loc,0.9375,235,41
loc,-0.25,236,41
loc,0.25,237,42
loc,-0.30000000000000004,238,42
loc,-0.8,239,42
loc,-2.0,240,42
loc,-0.4375,241,42
loc,-1.625,242,42
loc,0.625,243,42
loc,0.0,244,42
loc,0.75,245,42
loc,-0.375,246,42
loc,-0.5,247,43
loc,-0.6875,248,43
loc,-1.125,249,43
loc,-1.125,250,43
loc,-1.5,251,43
loc,-0.4375,252,43
loc,0.5,253,44
loc,-0.375,254,44
loc,-0.375,255,44
loc,0.5,256,44
loc,0.375,257,44
loc,0.3125,258,44
loc,1.0625,259,44
soc,0.6875,260,11
soc,1.75,261,11
soc,-0.125,262,11
soc,0.9375,263,11
soc,1.5625,264,11
soc,0.875,265,11
soc,-0.125,266,11
soc,0.625,267,11
soc,2.2,268,12
soc,1.25,269,12
soc,-0.3125,270,12
soc,1.125,271,12
soc,-1.0,272,12
soc,1.6875,273,12
soc,0.125,274,12
soc,0.09999999999999987,275,13
soc,-0.25,276,13
soc,0.1875,277,13
soc,-0.5,278,13
soc,0.5625,279,13
soc,2.25,280,14
soc,0.25,281,14
soc,0.6875,282,14
soc,0.8125,283,14
soc,0.875,284,14
soc,1.0,285,14
soc,0.875,286,14
soc,0.875,287,14
soc,1.375,288,14
soc,-0.125,289,14
soc,0.3500000000000001,290,21
soc,1.75,291,21
soc,0.25,292,21
soc,2.4375,293,21
soc,0.875,294,21
soc,0.4375,295,21
soc,1.25,296,22
soc,1.2500000000000002,297,22
soc,-0.125,298,22
soc,1.5,299,22
soc,-0.3125,300,22
soc,0.875,301,22
soc,0.125,302,22
soc,1.25,303,22
soc,-0.0625,304,22
soc,1.25,305,22
soc,1.0,306,22
soc,0.75,307,23
soc,0.75,308,23
soc,1.0625,309,23
soc,1.875,310,23
soc,1.25,311,23
soc,1.5,312,23
soc,1.9375,313,23
soc,0.0,314,23
soc,2.35,315,24
soc,1.4,316,24
soc,0.6000000000000001,317,24
soc,2.375,318,24
soc,1.25,319,24
soc,-0.3125,320,24
soc,1.0625,321,24
soc,1.1875,322,24
soc,1.15,323,31
soc,0.4375,324,31
soc,0.1875,325,31
soc,-0.3125,326,31
soc,-0.125,327,31
soc,1.625,328,31
soc,-1.0,329,31
soc,0.8999999999999999,330,32
soc,0.0,331,32
soc,0.125,332,32
soc,0.0625,333,32
soc,0.0,334,32
soc,1.5,335,32
soc,-0.125,336,32
soc,1.5625,337,32
soc,0.625,338,32
soc,0.7000000000000002,339,33
soc,0.0625,340,33
soc,-0.5,341,33
soc,0.0625,342,33
soc,0.4375,343,33
soc,-0.375,344,33
soc,0.3125,345,33
soc,-0.1875,346,33
soc,2.1875,347,34
soc,0.125,348,34
soc,1.875,349,34
soc,0.25,350,34
soc,0.35416666666666674,351,41
soc,0.4375,352,41
soc,-0.3125,353,41
soc,-0.3125,354,41
soc,1.0625,355,41
soc,0.75,356,41
soc,-0.4375,357,41
soc,-0.6875,358,41
soc,1.625,359,41
soc,0.8,360,42
soc,1.4375,361,42
soc,-0.5625,362,42
soc,2.375,363,42
soc,-0.24999999999999978,364,43
soc,-0.85,365,43
soc,1.25,366,43
soc,0.3125,367,43
soc,1.125,368,43
soc,0.4375,369,43
soc,-1.125,370,43
soc,-0.25,371,43
soc,1.35,372,44
soc,1.75,373,44
soc,0.625,374,44
soc,0.25,375,44
soc,0.5,376,44
soc,0.6875,377,44
soc,0.9375,378,44
